true_values,predicted_values,difference
6.0,6.667423626586401,0.6674236265864009
7.53,7.450909050732975,0.07909094926702487
7.1,7.067013216860891,0.03298678313910841
5.45,5.904454830466505,0.4544548304665046
6.8,6.317267960537719,0.48273203946228094
5.74,6.01007159821466,0.27007159821465976
6.01,5.74084019300056,0.26915980699943987
6.16,6.325922857214856,0.16592285721485567
7.16,6.600670380987046,0.5593296190129537
6.98,6.741536107588436,0.23846389241156452
6.34,6.797463360607033,0.45746336060703285
6.48,6.335373185490665,0.14462681450933523
8.17,7.619575450922417,0.550424549077583
7.62,7.685206442421097,0.06520644242109697
5.98,6.195616191452585,0.21561619145258426
6.34,6.151835005081986,0.1881649949180142
6.5,6.200914435536014,0.2990855644639856
5.75,6.242201052345067,0.4922010523450666
5.33,5.790434141077512,0.4604341410775117
7.76,7.359827678848245,0.4001723211517545
7.42,7.542761634907437,0.12276163490743741
7.5,7.408705918640031,0.09129408135996897
5.51,5.485395783618494,0.024604216381505672
7.36,7.132612924854768,0.2273870751452325
6.25,7.2178157581417475,0.9678157581417475
8.34,8.097720060785726,0.24227993921427426
6.54,6.091339948631699,0.448660051368301
6.37,5.66352425148401,0.7064757485159898
6.67,6.668888069749373,0.0011119302506266138
6.25,6.09724713125428,0.15275286874572025
6.87,6.817633694826766,0.05236630517323437
4.58,4.757065569598741,0.1770655695987413
6.16,6.631046517446245,0.47104651744624526
6.46,6.897082822486983,0.4370828224869827
7.06,7.362797509771221,0.30279750977122166
3.85,4.294059148027328,0.44405914802732793
5.47,6.274148556931486,0.8041485569314863
6.8,6.658732243938691,0.1412677560613087
5.68,6.056010975857055,0.37601097585705556
6.75,5.9958954946950955,0.7541045053049045
8.83,8.554419089943808,0.2755809100561919
8.08,7.608658055931791,0.4713419440682092
8.31,7.392157099067227,0.9178429009327731
7.67,7.272454074769618,0.3975459252303821
3.77,4.215153503312437,0.44515350331243697
5.8,5.345423279223809,0.45457672077619105
7.4,7.124441923624162,0.2755580763758383
5.74,5.356887762582417,0.38311223741758305
4.36,3.780809094396246,0.5791909056037543
6.43,6.929469431563555,0.49946943156355506
7.14,7.369891443170113,0.22989144317011334
5.9,6.018860739235492,0.11886073923549123
6.47610799251537,6.375064157379188,0.1010438351361822
7.33,7.473143676479529,0.14314367647952864
6.47610799251537,6.8907341490543175,0.4146261565389473
6.52,6.125880774882209,0.39411922511779096
8.03,7.810511102085736,0.21948889791426307
6.67,6.678021158417171,0.008021158417171215
7.23,7.100351718893058,0.1296482811069426
5.9,6.733206007660753,0.8332060076607526
6.02,6.227018127735547,0.20701812773554717
7.22,7.119050630875691,0.10094936912430885
7.17,6.510662644009878,0.6593373559901217
6.89,6.713021911073682,0.17697808892631794
6.02,6.48633410051681,0.4663341005168107
5.62,5.83533111621608,0.21533111621608025
6.57,6.185572464813865,0.38442753518613504
6.33,6.7465848634588035,0.4165848634588034
6.17,6.297356519432843,0.1273565194328432
5.64,6.049987598383608,0.40998759838360854
5.88,5.652308337564251,0.227691662435749
6.2,6.5373677434886295,0.3373677434886293
7.4,6.802799725607496,0.5972002743925042
6.73,6.454639677840542,0.27536032215945827
7.05,7.395074182314566,0.34507418231456644
6.0,5.701939396900553,0.29806060309944726
7.69,7.424851869667185,0.2651481303328156
8.47,8.2679923445464,0.20200765545360078
6.75,6.625832214613792,0.12416778538620843
6.12,5.924283037716995,0.19571696228300528
6.84,6.955497878143236,0.11549787814323587
7.56,7.555175035589924,0.004824964410075516
5.98,5.946685362061698,0.03331463793830203
5.25,5.750787583867576,0.5007875838675764
